Cluster,GSRN
0,"[570715000000084607, 570715000000084652, 570715000000088643, 570715000000088667, 570715000000088810, 570715000000088827, 570715000000088858, 570715000000088865, 570715000000088872, 570715000000089336, 570715000000125546, 570715000000125591, 570715000000125614, 570715000000125621, 570715000000125652, 570715000000125669, 570715000000125683, 570715000000125706, 570715000000128905, 570715000000161001, 570715000000161018, 570715000000161025, 570715000000161032, 570715000000161049, 570715000000161056, 571313161170169150, 571313161170169709, 571313161170169785, 571313174000602109, 571313174000602116, 571313174000602123, 571313174000602130, 571313174000602147, 571313174000602154, 571313174000780944, 571313174000780951, 571313174000828844, 571313174000832711, 571313174000832742, 571313174000832759, 571313174000839574, 571313174000839604, 571313174000839611, 571313174001641220, 571313174001641237, 571313174001641244, 571313174001641251, 571313174001641268, 571313174001657931, 571313174001657962, 571313174001657979]"
1,"[570714700000004476, 570714700000007927]"
2,"[570714700000013058, 570715000000125539, 570715000000125638, 571313174000828837]"
3,"[570714700000002151, 570714700000002168, 570714700000003349, 570714700000003424, 570714700000003585, 570714700000004469, 570714700000004513, 570714700000004520, 570714700000004568, 570714700000004575, 570714700000004704, 570714700000004728, 570714700000004810, 570714700000004940, 570714700000004964, 570714700000004995, 570714700000005039, 570714700000005053, 570714700000005060, 570714700000005091, 570714700000005329, 570714700000005503, 570714700000005619, 570714700000005626, 570714700000005817, 570714700000005886, 570714700000005923, 570714700000005961, 570714700000005978, 570714700000006029, 570714700000006067, 570714700000006074, 570714700000006081, 570714700000006258, 570714700000006289, 570714700000006296, 570714700000006333, 570714700000006876, 570714700000006890, 570714700000006982, 570714700000007194, 570714700000007637, 570714700000007651, 570714700000007682, 570714700000007828, 570714700000007934, 570714700000008016, 570714700000008092, 570714700000008146, 570714700000008252, 570714700000008450, 570714700000008474, 570714700000008627, 570714700000008702, 570714700000008757, 570714700000008764, 570714700000008955, 570714700000008962, 570714700000009037, 570714700000009273, 570714700000009280, 570714700000009426, 570714700000009556, 570714700000009655, 570714700000009945, 570714700000009952, 570714700000010194, 570714700000010200, 570714700000010217, 570714700000010750, 570714700000010767, 570714700000010934, 570714700000011849, 570714700000012501, 570714700000012624, 570714700000012846, 570714700000013324, 570714700000013331, 570714700000013348, 570714700000106958, 570715000000083464, 570715000000088513, 571313174001764448]"
4,"[570714700000000140, 570714700000000157, 570714700000000317, 570714700000000324, 570714700000000331, 570714700000000348, 570714700000000355, 570714700000000362, 570714700000000379, 570714700000000850, 570714700000000881, 570714700000000966, 570714700000000997, 570714700000001048, 570714700000001079, 570714700000002090, 570714700000002137, 570714700000002144, 570714700000002175, 570714700000002182, 570714700000002199, 570714700000002205, 570714700000002304, 570714700000002311, 570714700000002489, 570714700000002496, 570714700000002502, 570714700000002786, 570714700000002830, 570714700000002847, 570714700000002854, 570714700000003134, 570714700000003165, 570714700000003219, 570714700000003233, 570714700000003240, 570714700000003257, 570714700000003264, 570714700000003271, 570714700000003288, 570714700000003295, 570714700000003301, 570714700000003318, 570714700000003356, 570714700000003363, 570714700000003370, 570714700000003387, 570714700000003394, 570714700000003400, 570714700000003417, 570714700000003431, 570714700000003479, 570714700000003486, 570714700000003493, 570714700000004384, 570714700000004605, 570714700000004735, 570714700000004742, 570714700000004759, 570714700000005107, 570714700000005114, 570714700000005121, 570714700000005138, 570714700000005213, 570714700000005251, 570714700000005268, 570714700000005275, 570714700000005282, 570714700000005299, 570714700000005305, 570714700000005312, 570714700000005336, 570714700000005343, 570714700000005350, 570714700000005367, 570714700000005374, 570714700000005381, 570714700000005404, 570714700000005411, 570714700000005428, 570714700000005435, 570714700000005442, 570714700000005466, 570714700000005473, 570714700000005480, 570714700000005497, 570714700000009419, 570714700000009587, 570714700000009648, 570714700000009662, 570714700000009785, 570714700000009808, 570714700000009914, 570714700000009938, 570714700000010163, 570714700000010170, 570714700000010590, 570714700000010606, 570714700000010613, 570714700000010620, 570714700000010637, 570714700000010644, 570714700000010774, 570714700000010804, 570714700000010811, 570714700000010835, 570714700000010842, 570714700000010859, 570714700000010897, 570714700000010903, 570714700000010958, 570714700000010965, 570714700000010972, 570714700000010989, 570714700000011139, 570714700000011153, 570714700000011160, 570714700000011177, 570714700000011184, 570714700000011207, 570714700000011214, 570714700000011221, 570714700000011238, 570714700000011245, 570714700000011252, 570714700000011269, 570714700000011276, 570714700000011689, 570714700000011696, 570714700000011719, 570714700000011726, 570714700000011733, 570714700000011771, 570714700000011788, 570714700000011795, 570714700000011801, 570714700000011818, 570714700000011825, 570714700000011832, 570714700000011856, 570714700000011863, 570714700000011870, 570714700000011887, 570714700000011894, 570714700000011900, 570714700000012204, 570714700000012211, 570714700000012228, 570714700000012235, 570714700000012242, 570714700000012259, 570714700000012266, 570714700000012273, 570714700000012280, 570714700000012297, 570714700000012303, 570714700000012327, 570714700000012372, 570714700000012389, 570714700000012396, 570714700000012402, 570714700000012419, 570714700000012426, 570714700000012433, 570714700000012440, 570714700000012457, 570714700000012495, 570714700000012518, 570714700000012525, 570714700000012532, 570714700000012549, 570714700000012556, 570714700000012563, 570714700000012570, 570714700000012631, 570714700000012648, 570714700000012655, 570714700000012693, 570714700000012709, 570714700000012716, 570714700000012778, 570714700000012785, 570714700000012792, 570714700000012808, 570714700000012815, 570714700000012839, 570714700000012853, 570714700000012860, 570714700000012877, 570714700000012884, 570714700000012891, 570714700000012907, 570714700000012914, 570714700000012921, 570714700000013096, 570714700000013102, 570714700000013119, 570714700000013126, 570714700000013133, 570714700000013188, 570714700000013201, 570714700000013218, 570714700000013232, 570714700000013249, 570714700000013270, 570714700000013287, 570714700000013294, 570714700000013300, 570714700000013317, 570714700000013355, 570714700000013362, 570714700000013379, 570714700000013386, 570714700000013393, 570714700000013409, 570714700000013430, 570714700000013485, 570714700000013515, 570714700000013621, 570714700000013669, 570714700000013676, 570714700000013812, 570714700000013829, 570714700000013836, 570714700000013843, 570714700000013881, 570714700000013898, 570714700000013904, 570714700000013911, 570714700000013928, 570714700000013935, 570714700000013942, 570714700000013959, 570714700000013966, 570714700000013973, 570714700000014178, 570714700000014215, 570714700000014222, 570714700000014239, 570714700000014284, 570714700000014291, 570714700000014307, 570714700000014314, 570714700000014321, 570714700000014338, 570714700000105814, 570714700000105821, 570714700000105838, 570714700000105883, 570714700000106682, 570714700000106699, 570715000000091681, 570715000000107078, 571313174116253585]"
5,"[570714700000003226, 570714700000003523, 570714700000003530, 570714700000013034, 570714700000013041, 570714700000013638]"
