GroupName,Type,GSRNs
GeoClient 1,Initial,"570714700000004568, 570714700000004575, 570714700000004605, 570714700000004964, 570714700000106958, 570715000000107078, 571313174116253585"
GeoClient 2,Initial,"570714700000004810, 570714700000005060, 570714700000106682, 570714700000106699"
GeoClient 3,Initial,"570714700000004469, 570714700000004476, 570714700000004513, 570714700000005213"
Cluster 0,Final,"570714700000004513, 570714700000004605, 570714700000005213, 570714700000106682, 570714700000106699, 570715000000107078, 571313174116253585"
Cluster 1,Final,"570714700000004469, 570714700000004568, 570714700000004810, 570714700000004964, 570714700000005060, 570714700000106958"
Cluster 2,Final,570714700000004575
Cluster 3,Final,570714700000004476
