GSRN,mean_power,std_power,cv,zero_ratio,ramp_mean,ramp_std,mean_power_scaled,std_power_scaled,cv_scaled,ramp_mean_scaled,ramp_std_scaled
570714700000000140,123.628236007783,177.32558790539952,1.4343453698897395,0.3548128648277441,0.017103823260073172,58.651035831791184,-0.3084303415290492,-0.18396725110366047,-0.005731621241547394,0.7233895097918561,-0.19834169110767572
570714700000000157,134.0461581778642,170.9979792215848,1.2756649018966264,0.2665674716721987,0.0029763049450549617,65.2574295870823,-0.2728974770168282,-0.2081312446463547,-0.061248984240976696,0.37237257052870376,-0.1302507774735748
570714700000000317,110.91974991415817,139.27379287055808,1.2556266397854607,0.13459997710884744,0.004684294871794861,45.04935890305328,-0.3517757329754411,-0.3292801766424609,-0.06825974924295272,0.41480984670191556,-0.3385317317469994
570714700000000324,103.42577040173971,135.3496908499275,1.3086650486062108,0.1532562664530159,0.0023697344322343994,45.48399727646944,-0.37733577789849215,-0.3442656127883362,-0.04970325875200263,0.3573015212396567,-0.3340519921125517
570714700000000331,102.11146091335699,134.71642024371167,1.3193075394153888,0.16790660409751632,-0.006230654761904604,44.58712780413078,-0.38181855097122147,-0.3466839587392353,-0.045979782051033556,0.14361343929327905,-0.34329586464636225
570714700000000348,102.73561004921598,135.40290733177673,1.3179744323016267,0.167677692571821,-0.014414835164835204,44.19367053958883,-0.3796897381122054,-0.34406238866560257,-0.04644619478908437,-0.05973338294090388,-0.3473511579895994
570714700000000355,122.15213105184846,148.7741331980524,1.2179413647307062,0.1135401167448781,-0.005742673992673994,47.55527837408838,-0.3134649575060882,-0.29300009457699216,-0.08144465549769699,0.15573796903835954,-0.3127036699334565
570714700000000362,119.8371386059288,146.65355070374275,1.2237738017593758,0.1104498111479913,-0.005958791208791298,47.75067328665441,-0.3213608038739861,-0.3010982157250839,-0.07940406708888278,0.1503682500238794,-0.3106897696712415
570714700000000379,77.86887055053221,105.21677380228994,1.3512045706892664,0.33352409293807944,-0.010682119963369952,33.935265854498375,-0.4645038182178294,-0.45933777501355916,-0.034820002361495045,0.033010879423033095,-0.4530826922138065
570714700000000850,83.55584296669338,98.55281677902327,1.1794844415405865,0.14970813780473846,-0.007795329670329673,31.751446120676345,-0.4451070117290536,-0.4847862220534177,-0.09489953744750136,0.10473701492415498,-0.47559092989931034
570714700000000881,89.93597344626303,109.55086972144298,1.218098448524604,0.16973789630307887,-0.006662087912087862,35.66202923029932,-0.42334602060244464,-0.4427866462954201,-0.0813896967613292,0.13289391018015811,-0.4352852523028078
570714700000000966,150.48936705963143,195.4667536238064,1.2988741825617,0.20808057685704476,-0.008184523809523855,61.240502911772694,-0.21681390259543967,-0.11468941911670272,-0.053128778421477514,0.09506697008875933,-0.17165251909758278
570714700000000997,92.1717523177292,105.33026096329657,1.1427607516911267,0.14181069016824996,-0.0070741758241758745,35.618028022126595,-0.41572035145056285,-0.45890438806395883,-0.10774801493081333,0.12265503917797313,-0.43573876485087315
570714700000001048,86.82907176376331,119.47100370068307,1.375933213080165,0.2640494448895502,-0.015602106227106222,38.14215528193923,-0.43394286656987746,-0.4049034481719062,-0.02616821910510728,-0.0892327079505241,-0.4097230386293276
570714700000001079,86.54206249284651,114.24943419279519,1.320160750759077,0.1964060890465835,0.002106227106227055,35.981454997661785,-0.43492178169044976,-0.42484367807172135,-0.045681269924860476,0.35075433205992734,-0.4319929883016552
570714700000002090,102.27202060203733,110.3473375439015,1.0789592001246069,0.10140780588302621,-0.0012307692307691408,32.613960681272786,-0.38127092299216175,-0.4397450796814668,-0.130070194484752,0.2678422299889242,-0.4667011472691591
570714700000002137,82.68981046125673,107.85853012595723,1.3043751040703255,0.16447293121208653,-0.0036872710622710934,34.45523495849784,-0.44806082681583104,-0.44924938523848473,-0.05120417698761369,0.20680718229257786,-0.44772346406842506
570714700000002144,83.57680897333182,107.98919504270827,1.2920952159966541,0.15588874899851207,-0.00412614468864472,34.18251830850494,-0.44503550204976405,-0.4487503995454053,-0.05550052809119102,0.1959027846752535,-0.45053430558788116
570714700000002151,38.320357903170425,46.9291736712547,1.2246538456096212,0.09396818129792835,-0.002419642857142799,16.006676533962885,-0.5993936665595943,-0.6819275816158796,-0.07909616710278235,0.23830308714762696,-0.6378694415697798
570714700000002168,47.93273457708596,79.45626342074775,1.6576618071511295,0.42600434931898823,-0.011667353479853492,24.012964303010733,-0.5666083114361348,-0.5577125067045876,0.07239985812690239,0.008531445335314549,-0.5553500718190173
570714700000002175,70.26936591507382,83.96121879496556,1.1948481063062308,0.11994963946434703,-0.011652586996337016,25.873197016629327,-0.49042378231078765,-0.5405088966186525,-0.08952426874188577,0.008898338212892574,-0.5361769874201521
570714700000002182,107.0223576742589,115.5680769316068,1.0798498504710414,0.12338331234977681,-0.0036130952380953674,36.08537536594931,-0.3650687397910452,-0.41980801986054467,-0.1297585836153492,0.20865017907296826,-0.43092189973442857
570714700000002199,111.07943195604898,122.64589769933485,1.1041278798388383,0.13025065812063638,-0.006769459706959757,38.625024109131495,-0.35123109842481687,-0.392779102006443,-0.12126445584795893,0.13022611545792032,-0.4047461963721407
570714700000002205,107.11271729426576,122.48229462607932,1.1434897528515633,0.18072564953645415,-0.004031707875457892,42.05534283656883,-0.36476054626812754,-0.3934038725640509,-0.10749296008655411,0.19824919261325405,-0.36939051748601565
570714700000002304,106.65602369234291,119.31096538684719,1.1186519172232445,0.18106901682499713,-0.012396978021978037,38.19365298672592,-0.3663182111859291,-0.4055146055577929,-0.1161829466623271,-0.009597044600216393,-0.4091922610373657
