k,silhouette_score
2,0.7789278136866113
3,0.7859344163549383
4,0.7858824560078037
5,0.7475077482472412
6,0.7531599864015732
7,0.41582614210343594
8,0.42446119125588505
9,0.3935277640646141
10,0.39442024368876744
