GSRN,Capacity_kw,mean_power,std_power,cv,zero_ratio,ramp_mean,ramp_std,mean_power_scaled,std_power_scaled,cv_scaled,ramp_mean_scaled,ramp_std_scaled
570714700000003233,750.0000,103.9999,131.8780,1.2681,0.1208,0.0023,43.5357,-0.3754,-0.3575,-0.0639,0.3559,-0.3541
570714700000003240,750.0000,106.0303,136.9453,1.2916,0.0979,0.0090,44.6046,-0.3685,-0.3382,-0.0557,0.5208,-0.3431
570714700000003257,750.0000,107.2441,135.0418,1.2592,0.0926,0.0116,45.7287,-0.3643,-0.3454,-0.0670,0.5865,-0.3315
570714700000003264,750.0000,130.3443,153.2309,1.1756,0.0699,-0.0057,49.9233,-0.2855,-0.2760,-0.0963,0.1562,-0.2883
570714700000003271,750.0000,131.2706,153.7933,1.1716,0.0743,-0.0021,46.6892,-0.2824,-0.2738,-0.0977,0.2455,-0.3216
570714700000003288,750.0000,123.3624,148.2467,1.2017,0.0809,0.0035,46.0978,-0.3093,-0.2950,-0.0871,0.3849,-0.3277
570714700000003295,750.0000,112.3922,138.4488,1.2318,0.0943,0.0063,45.3905,-0.3468,-0.3324,-0.0766,0.4551,-0.3350
570714700000003301,750.0000,108.1100,133.1265,1.2314,0.0958,0.0049,44.0236,-0.3614,-0.3528,-0.0767,0.4204,-0.3491
570714700000003318,750.0000,130.5094,150.4350,1.1527,0.0737,0.0036,47.4224,-0.2850,-0.2867,-0.1043,0.3889,-0.3141
570714700000003349,750.0000,119.7340,146.0156,1.2195,0.1021,0.0349,47.5869,-0.3217,-0.3035,-0.0809,1.1662,-0.3124
570714700000003356,750.0000,118.5393,147.4740,1.2441,0.0928,-0.0165,46.1608,-0.3258,-0.2980,-0.0723,-0.1108,-0.3271
570714700000003363,750.0000,116.6260,147.0120,1.2605,0.1364,-0.0231,46.8546,-0.3323,-0.2997,-0.0665,-0.2764,-0.3199
570714700000003370,750.0000,106.1940,133.0652,1.2530,0.0878,-0.0024,43.2321,-0.3679,-0.3530,-0.0692,0.2376,-0.3573
570714700000003387,750.0000,100.7581,127.0675,1.2611,0.0842,0.0078,40.9339,-0.3864,-0.3759,-0.0663,0.4913,-0.3809
570714700000003394,750.0000,108.3388,131.0202,1.2094,0.0773,-0.0000,41.3935,-0.3606,-0.3608,-0.0844,0.2984,-0.3762
570714700000003400,1000.0000,182.9261,215.3847,1.1774,0.0834,-0.0232,72.3719,-0.1062,-0.0386,-0.0956,-0.2778,-0.0569
570714700000003417,1000.0000,192.7530,228.1542,1.1837,0.0971,-0.0324,75.4514,-0.0727,0.0101,-0.0934,-0.5073,-0.0252
570714700000003424,750.0000,190.9863,193.0556,1.0108,0.0713,0.0555,65.6825,-0.0787,-0.1239,-0.1539,1.6775,-0.1259
570714700000003431,660.0000,139.5776,156.2438,1.1194,0.1021,-0.0209,51.0981,-0.2540,-0.2645,-0.1159,-0.2203,-0.2762
570714700000003479,750.0000,128.0897,152.9767,1.1943,0.0809,-0.0112,49.1290,-0.2932,-0.2770,-0.0897,0.0206,-0.2965
570714700000003486,750.0000,121.5295,145.6959,1.1989,0.0681,-0.0083,44.8035,-0.3156,-0.3048,-0.0881,0.0917,-0.3411
570714700000003493,750.0000,122.1901,145.4694,1.1905,0.0807,-0.0062,46.2893,-0.3133,-0.3056,-0.0910,0.1448,-0.3258
570714700000003523,2000.0000,380.7871,459.0676,1.2056,0.0745,0.0201,154.1240,0.5687,0.8920,-0.0858,0.7970,0.7857
570714700000003530,2000.0000,374.5211,438.8257,1.1717,0.0736,-0.0213,143.3363,0.5473,0.8147,-0.0976,-0.2300,0.6745
570714700000003585,200.0000,30.2016,44.3386,1.4681,0.2265,-0.0018,13.5845,-0.6271,-0.6918,0.0061,0.2535,-0.6628
570714700000004384,660.0000,130.9380,165.3031,1.2625,0.2622,0.0089,61.9054,-0.2835,-0.2299,-0.0659,0.5184,-0.1648
570714700000004469,180.0000,5.0354,19.3422,3.8413,0.8865,-0.0139,4.8142,-0.7129,-0.7873,0.8364,-0.0459,-0.7532
570714700000004476,180.0000,0.0497,1.2910,25.9982,0.9979,0.0000,0.4324,-0.7299,-0.8562,8.5884,0.2984,-0.7984
570714700000004513,550.0000,76.7097,104.3009,1.3597,0.1820,0.0047,35.0391,-0.4685,-0.4628,-0.0319,0.4147,-0.4417
570714700000004520,750.0000,80.8060,143.6106,1.7772,0.4658,0.0534,48.6403,-0.4545,-0.3127,0.1142,1.6240,-0.3015
570714700000004568,180.0000,7.9155,23.9728,3.0286,0.8370,-0.0106,7.7550,-0.7031,-0.7696,0.5520,0.0351,-0.7229
570714700000004575,500.0000,25.0780,67.3957,2.6874,0.7048,0.0471,22.7966,-0.6446,-0.6038,0.4327,1.4684,-0.5679
570714700000004605,660.0000,131.1473,164.2375,1.2523,0.2246,0.0048,55.4311,-0.2828,-0.2339,-0.0694,0.4177,-0.2315
570714700000004704,45.0000,0.5903,1.8252,3.0919,0.7615,0.0002,0.8072,-0.7281,-0.8542,0.5742,0.3046,-0.7945
570714700000004728,95.0000,18.5390,23.2748,1.2555,0.1076,0.0011,7.7890,-0.6669,-0.7723,-0.0683,0.3253,-0.7226
570714700000004735,600.0000,155.1522,151.1188,0.9740,0.0469,-0.0010,51.5278,-0.2009,-0.2840,-0.1668,0.2728,-0.2718
570714700000004742,600.0000,148.7065,153.9231,1.0351,0.0452,-0.0055,51.2475,-0.2229,-0.2733,-0.1454,0.1611,-0.2746
570714700000004759,600.0000,152.3539,154.0983,1.0114,0.0758,-0.0036,50.8892,-0.2105,-0.2727,-0.1537,0.2081,-0.2783
570714700000004810,150.0000,26.0019,36.3505,1.3980,0.2374,-0.0007,12.1892,-0.6414,-0.7223,-0.0185,0.2810,-0.6772
570714700000004940,225.0000,34.2235,47.2942,1.3819,0.2676,-0.0043,15.5379,-0.6134,-0.6805,-0.0241,0.1918,-0.6427
570714700000004964,55.0000,2.1657,5.3510,2.4708,0.4337,-0.0009,2.2915,-0.7227,-0.8407,0.3569,0.2772,-0.7792
570714700000004995,55.0000,8.1364,15.9614,1.9617,0.5972,0.0000,6.5561,-0.7023,-0.8002,0.1788,0.2984,-0.7353
570714700000005039,55.0000,7.5192,12.3365,1.6407,0.2495,-0.0005,4.0636,-0.7044,-0.8140,0.0664,0.2857,-0.7610
570714700000005053,200.0000,31.2605,46.4919,1.4872,0.2717,-0.0008,13.5593,-0.6235,-0.6836,0.0128,0.2791,-0.6631
570714700000005060,75.0000,5.2400,7.9871,1.5242,0.2303,0.0008,3.4151,-0.7122,-0.8306,0.0257,0.3177,-0.7676
570714700000005091,200.0000,41.6518,54.2101,1.3015,0.2079,-0.0037,17.4449,-0.5880,-0.6541,-0.0522,0.2077,-0.6230
570714700000005107,550.0000,106.8768,127.4186,1.1922,0.1280,-0.0157,40.0382,-0.3656,-0.3746,-0.0905,-0.0928,-0.3902
570714700000005114,550.0000,102.9920,123.3419,1.1976,0.1543,-0.0087,40.1322,-0.3788,-0.3901,-0.0886,0.0829,-0.3892
