GSRN,mean_power,std_power,cv,zero_ratio,ramp_mean,ramp_std,mean_power_scaled,std_power_scaled,cv_scaled,ramp_mean_scaled,ramp_std_scaled,cluster
570714700000000140,123.628236007783,177.32558790539952,1.4343453698897397,0.3548128648277441,0.0171038232600731,58.651035831791184,-0.3359672417528471,-0.230373675992483,-0.0661692356360378,0.5775786477475435,-0.2505241247264165,0
570714700000000157,134.0461581778642,170.9979792215848,1.2756649018966264,0.2665674716721987,0.0029763049450549,65.2574295870823,-0.2989002231197474,-0.2546749542288147,-0.1056441662396812,0.2929124558594645,-0.1811430387064659,0
570714700000000317,110.91974991415816,139.27379287055808,1.2556266397854607,0.1345999771088474,0.0046842948717948,45.04935890305328,-0.3811840981605205,-0.3765121786623531,-0.1106290835156387,0.3273280536585051,-0.3933704569258142,0
570714700000000324,103.42577040173973,135.3496908499275,1.3086650486062108,0.1532562664530159,0.0023697344322343,45.48399727646944,-0.4078477143488451,-0.3915827526811001,-0.0974347217015706,0.2806902018056387,-0.3888058361220049,0
570714700000000331,102.111460913357,134.71642024371167,1.3193075394153888,0.1679066040975163,-0.0062306547619046,44.58712780413078,-0.4125240340122278,-0.3940148381607072,-0.0947871898946916,0.1073943697946944,-0.3982248596186227,0
570714700000000348,102.73561004921598,135.40290733177673,1.3179744323016267,0.167677692571821,-0.0144148351648352,44.19367053958883,-0.4103033082983077,-0.3913783739660438,-0.0951188268722512,-0.0575149523578491,-0.4023569918116964,0
570714700000000355,122.15213105184846,148.7741331980524,1.2179413647307062,0.1135401167448781,-0.0057426739926739,47.55527837408838,-0.3412192304904065,-0.3400259758684252,-0.120004047154076,0.1172270682342939,-0.3670530104006648,0
570714700000000362,119.8371386059288,146.65355070374275,1.2237738017593758,0.1104498111479913,-0.0059587912087912,47.75067328665441,-0.349455985068476,-0.3481701054744687,-0.1185531121406574,0.1128723568446675,-0.3650009511776209,0
570714700000000379,77.86887055053221,105.21677380228994,1.3512045706892664,0.3335240929380794,-0.0106821199633699,33.935265854498375,-0.4987792904849708,-0.5073086829397148,-0.0868521673180427,0.0176983864685664,-0.5100919050256851,0
570714700000000966,150.48936705963143,195.4667536238064,1.2988741825617,0.2080805768570447,-0.0081845238095238,61.240502911772694,-0.2403952045509952,-0.16070225070633,-0.0998703948662944,0.0680243651816059,-0.2233292518688705,0
570714700000002304,106.65602369234291,119.3109653868472,1.1186519172232443,0.1810690168249971,-0.012396978021978,38.19365298672592,-0.396354457156323,-0.4531797239083852,-0.1447042771168541,-0.0168556025822641,-0.4653698471418812,0
570714700000002311,112.24196806684216,122.76834726625168,1.09378291721632,0.1806111937736065,-0.0129376144688644,39.01859749133829,-0.3764796394304187,-0.4399015957530253,-0.1508909367723951,-0.0277493006189152,-0.4567061876997906,0
570714700000002786,97.14873526382053,131.19399083527858,1.3504446607462626,0.2646217237037885,-0.0332303113553113,44.13350135651133,-0.4301814364307847,-0.4075427823493425,-0.0870412100694568,-0.4366423996753187,-0.4029888953011769,0
570714700000003134,124.97259929037428,147.2406680859635,1.1781836092234053,0.1004921597802449,0.0091575091575092,49.1966673768098,-0.3311839905409524,-0.3459152721597555,-0.1298945816316743,0.4174622759486303,-0.3498149595353486,0
570714700000003165,88.49083209339591,121.69329349907628,1.375207924032599,0.2172370378848575,-0.0024496336996336,38.36673556767579,-0.4609862987538444,-0.4440303562406911,-0.0808808545316202,0.1835810604253554,-0.4635521145206882,0
570714700000003219,101.2713173858304,118.5638473613039,1.1707544685094915,0.087673114341307,-0.0041895604395604,48.88765470621942,-0.415513268840526,-0.4560490421487098,-0.1317427285260934,0.1485219433054948,-0.3530602451591905,0
570714700000003301,108.11004921597802,133.12648190789787,1.2313978475945655,0.0957994735034909,0.0049107142857142,44.02360708144442,-0.3911810271481427,-0.4001210207342364,-0.1166564787107877,0.3318903519258135,-0.4041430172675539,0
570714700000003318,130.5093853725535,150.4350262824475,1.152675923290988,0.0737095112738926,0.0036401098901099,47.42235733596429,-0.311484078262377,-0.3336472904942925,-0.1362401271469888,0.3062879703448634,-0.3684489620077821,0
570714700000003431,139.57760100721072,156.24380123473958,1.1194045470567149,0.1020945404601121,-0.0208791208791209,51.09810337455981,-0.2792193221611914,-0.3113386011644738,-0.1445170454378565,-0.1877687985415807,-0.3298458660468374,0
570714700000003585,30.201590362824778,44.338630255259915,1.4680892536651469,0.2265079546755179,-0.0018084935897435,13.584521676050985,-0.668379709269167,-0.7411121273012313,-0.0577747716722094,0.1964998837798503,-0.7238176962387837,0
570714700000004384,130.93800640952273,165.30311451086925,1.2624532711599863,0.2622181526839876,0.0088522206959708,61.905392356850975,-0.3099590424918562,-0.2765461695281043,-0.1089308228338151,0.4113107848066148,-0.2163465085611791,0
570714700000004469,5.035375987180956,19.342233803349103,3.841269023920061,0.8864598832551219,-0.0138598901098901,4.814227976008261,-0.7579212245499726,-0.8371111714009896,0.5326010189061817,-0.0463329392133036,-0.8159243014703518,0
570714700000004513,76.7097275952844,104.30094534013858,1.359683427510311,0.1819846629277784,0.0046809752747252,35.03913933032525,-0.5029035268556348,-0.5108259362004006,-0.084742882609962,0.3272611645534743,-0.4984989023348984,0
570714700000004520,80.80596669337301,143.6105611569849,1.7772271904367003,0.4658349547899736,0.0533511904761904,48.64032244555323,-0.4883290878748436,-0.3598567535181702,0.0191294545085466,1.30795462470961,-0.3556577562202057,0
