k,silhouette_score
2,0.7426851831010183
3,0.7521563151210526
4,0.7113481265362235
5,0.7290428978295957
6,0.7375043270842658
7,0.737325052217935
8,0.4989900284544504
9,0.49250758096966196
10,0.5011066768316694
