n_clients,k_global,crounds,silhouette
5,3,3,0.38769642323921205
5,3,4,0.38845378330981206
5,3,5,0.388436600714479
5,3,6,0.3885099438761312
5,3,7,0.389081414598066
5,3,8,0.3894483309940427
5,3,9,0.3899396141695519
5,4,3,0.2806617760564065
5,4,4,0.2814289840039338
5,4,5,0.2832382642974928
5,4,6,0.2859964293380504
5,4,7,0.2924291065659504
5,4,8,0.3017461096507362
5,4,9,0.3064971720633936
5,5,3,0.2673917356449262
5,5,4,0.2721498746454862
5,5,5,0.276054816880948
5,5,6,0.27924518195943115
5,5,7,0.2816127018732538
5,5,8,0.28245559408595966
5,5,9,0.30089166138931506
5,6,3,0.29479133276880165
5,6,4,0.2984928954113039
5,6,5,0.2980774592318218
5,6,6,0.28811260192324806
5,6,7,0.30222692547332247
5,6,8,0.30627864917566533
5,6,9,0.3066973419934514
5,7,3,0.28888645758623543
5,7,4,0.29084291155077857
5,7,5,0.2914966993390147
5,7,6,0.2806031332666792
5,7,7,0.28773002190544056
5,7,8,0.25692923060106015
5,7,9,0.2866614654013844
6,3,3,0.38857399153646643
6,3,4,0.3885008208391644
6,3,5,0.3881979364033731
6,3,6,0.3882128494071285
6,3,7,0.3882144219591528
6,3,8,0.389081414598066
6,3,9,0.3894483309940427
6,4,3,0.39228315246594275
6,4,4,0.3901327988113156
6,4,5,0.38793895290569413
6,4,6,0.388234337489424
6,4,7,0.38668866807269364
6,4,8,0.38668866807269364
6,4,9,0.37908667935440044
6,5,3,0.3800705994056291
6,5,4,0.3786473996680804
6,5,5,0.38017796001036264
6,5,6,0.3784520310558011
6,5,7,0.37444334450919203
6,5,8,0.3746212642387286
6,5,9,0.3793749327264068
6,6,3,0.320073884827698
6,6,4,0.3022072737149501
6,6,5,0.2916559906806668
6,6,6,0.2906030904201742
6,6,7,0.2876315270488401
6,6,8,0.2860870905962515
6,6,9,0.3000122212537879
6,7,3,0.25779466194244893
6,7,4,0.26501247211794937
6,7,5,0.27158172644148604
6,7,6,0.32316753886600813
6,7,7,0.31957447850630755
6,7,8,0.32046038438903757
6,7,9,0.29527765247547766
7,3,3,0.38845378330981206
7,3,4,0.3882252991295916
7,3,5,0.388436600714479
7,3,6,0.3884747164614627
7,3,7,0.3885099438761312
7,3,8,0.38868063298155275
7,3,9,0.389081414598066
7,4,3,0.29378806295413723
7,4,4,0.2902797471806166
7,4,5,0.28768427982932726
7,4,6,0.28454229383557417
7,4,7,0.2808106021614831
7,4,8,0.2786244240022105
7,4,9,0.2790514002692633
7,5,3,0.3845089247357154
