GSRN,mean_power,std_power,cv,zero_ratio,ramp_mean,ramp_std,mean_power_scaled,std_power_scaled,cv_scaled,ramp_mean_scaled,ramp_std_scaled,cluster
570714700000000355,122.15213105184846,148.7741331980524,1.2179413647307062,0.1135401167448781,-0.0057426739926739,47.55527837408838,0.085244828784483,0.1458430690733396,-0.2267799874208357,-0.297504769159866,0.0717197502658863,0
570714700000000362,119.8371386059288,146.65355070374275,1.2237738017593758,0.1104498111479913,-0.0059587912087912,47.75067328665441,0.073701258008927,0.1335778069004294,-0.2251012525125575,-0.3114392141928625,0.0746810839934311,0
570714700000000379,77.86887055053221,105.21677380228994,1.3512045706892664,0.3335240929380794,-0.0106821199633699,33.935265854498375,-0.1355709897164938,-0.1060888571697014,-0.1884231916711299,-0.6159821195934383,-0.1347001708782472,0
570714700000003585,30.201590362824778,44.338630255259915,1.4680892536651469,0.2265079546755179,-0.0018084935897435,13.584521676050985,-0.3732610191137456,-0.4582026717503837,-0.1547805828285278,-0.0438432536202148,-0.4431285957785496,0
570714700000004469,5.035375987180956,19.342233803349103,3.841269023920061,0.8864598832551219,-0.0138598901098901,4.814227976008261,-0.4987508354239892,-0.6027796248674558,0.5282854673256885,-0.820873077517622,-0.5760479548004168,0
570714700000004513,76.7097275952844,104.30094534013858,1.359683427510311,0.1819846629277784,0.0046809752747252,35.03913933032525,-0.1413509864359106,-0.111385928245145,-0.185982744760548,0.3745738850505032,-0.1179702687944169,0
570714700000004568,7.915500743962458,23.97281137294847,3.0285906284872395,0.837014993704933,-0.0105998168498168,7.755007873358424,-0.4843892663264578,-0.5759967724881979,0.294374396377053,-0.610675516850473,-0.5314785717958007,0
570714700000004605,131.14731681355158,164.23747814759213,1.2523129114496785,0.2245622067071077,0.004800022893773,55.43114994946892,0.1300987822660649,0.2352816928407195,-0.2168869161291916,0.3822496386703786,0.1910835751664166,0
570714700000004704,0.5903216206936018,1.8252422797417511,3.091945501838764,0.7615314181069017,0.000247238596692,0.8071677143502198,-0.520915832018765,-0.7040963593468824,0.312609661838463,0.0887028140604862,-0.6367774924599124,0
570714700000004728,18.53895765136775,23.27484537877138,1.255455987141447,0.1075884170767998,0.001080586080586,7.789040926426754,-0.4314160365831594,-0.5800337462580606,-0.215982252974288,0.142434001775789,-0.5309627793087854,0
570714700000004735,155.1521724848346,151.118777370638,0.9740036181923856,0.0469268627675403,-0.0010314789377289,51.52779220243238,0.2497975531570345,0.1594042842376244,-0.296991943168947,0.006255799814077,0.1319257148353984,0
570714700000004742,148.70646194345886,153.9231127687429,1.0350801892339252,0.0452100263248254,-0.0055272435897435,51.24745412164423,0.2176564047207771,0.175624312918813,-0.2794124354294948,-0.2836146073208334,0.1276770135624183,0
570714700000004759,152.35391999542176,154.09829512885923,1.0114494929535771,0.0757697150051505,-0.0036363324175823,50.88915052739477,0.235844235202867,0.1766375522436975,-0.286213996176356,-0.1616955938144879,0.1222466955238516,0
570714700000004810,26.0019171340277,36.35046309365492,1.3979916521649276,0.2373812521460455,-0.0007005494505494,12.189223901239773,-0.394202437404883,-0.504405526287299,-0.1749565898812492,0.0275929187708433,-0.4642752177977918,0
570714700000004940,34.223479226279046,47.29416536313848,1.3819216056450188,0.2675975735378276,-0.0042912087912087,15.537919551456698,-0.3532061118813113,-0.4411081172793148,-0.1795819888247812,-0.203919619256093,-0.4135236130500533,0
570714700000004964,2.1656810117889433,5.350971006746697,2.470802938022054,0.4336728854297814,-0.0008544611686602,2.291470244981675,-0.5130603970431137,-0.6837038552574083,0.1338278422027053,0.0176692559804409,-0.6142819469612358,0
570714700000004995,8.13644729312121,15.961354181707469,1.9617105115646312,0.5972301705390867,7.650137478673888e-18,6.5560746674439825,-0.4832875296308049,-0.6223343345030194,-0.0127028830555607,0.0727617766108349,-0.5496491643313054,0
570714700000005039,7.519244591965204,12.336478124231832,1.6406539211949764,0.2495135630078974,-0.0005105311355311,4.063594195710313,-0.4863651738262391,-0.6433002980100028,-0.10511175144745,0.0398446024333249,-0.5874242854399344,0
570714700000005053,31.260525580863003,46.4918512733158,1.4872383112386658,0.2717179810003434,-0.000779304029304,13.559287899733278,-0.3679807022566869,-0.445748631233901,-0.1492689602852789,0.0225151125300072,-0.4435110296500441,0
570714700000005060,5.240044809431155,7.987079647268879,1.5242388066784365,0.2302849948494906,0.0007766267956275,3.4150895140585136,-0.4977302666358019,-0.6684568353093329,-0.1386192056436073,0.1228358224885598,-0.5972527848672019,0
570714700000005091,41.65175907061921,54.21006281730255,1.301507163848498,0.2078516653313494,-0.0036507554945055,17.4449366720181,-0.3161654406363941,-0.4011071761869951,-0.2027274647056099,-0.1626255408876703,-0.3846215600540957,0
570714700000005213,97.78562435618632,122.24145415084966,1.2500963710737525,0.21906833009042,0.0022550366300366,42.19023017362782,-0.0362572932160466,-0.0076196071191125,-0.2175248970771872,0.218158263448718,-0.0095909552037795,0
570714700000005503,5.162245622067071,6.194549605842353,1.1999718842052938,0.2880851550875586,-0.0006936813186813,2.0788907976685387,-0.498118207610383,-0.678824671019526,-0.2319520954253204,0.0280357507104511,-0.6175037232032273,0
570714700000009648,70.15008595627788,98.45001635159193,1.4034197536543631,0.1927435046354584,-0.0087763278388278,32.69860599771513,-0.1740602454469371,-0.1452271856318178,-0.1733942338007291,-0.4931036368846151,-0.1534425347161769,0
570714700000009655,66.83878722673687,97.05338632438298,1.4520518751357545,0.1924001373469154,-0.0004403617216116,33.099501375549586,-0.1905718376600514,-0.1533051705667321,-0.1593965790308396,0.0443688687496532,-0.147366711205691,0
