n_clients,k_global,crounds,silhouette
5,3,3,0.7521563151210526
5,3,4,0.7521563151210526
5,3,5,0.7491200935373299
5,3,6,0.7521563151210526
5,3,7,0.7491200935373299
5,3,8,0.7521563151210526
5,3,9,0.7521563151210526
5,4,3,0.7613438186086867
5,4,4,0.759568143538211
5,4,5,0.759568143538211
5,4,6,0.71229110514073
5,4,7,0.7113481265362235
5,4,8,0.7113481265362235
5,4,9,0.7113481265362235
5,5,3,0.7284878376119931
5,5,4,0.7048336659046233
5,5,5,0.7290428978295957
5,5,6,0.7290428978295957
5,5,7,0.7253328724101351
5,5,8,0.7048336659046233
5,5,9,0.7467680902065159
5,6,3,0.7269970002507792
5,6,4,0.7306029328108329
5,6,5,0.7276510393814928
5,6,6,0.7286608972795936
5,6,7,0.7375043270842658
5,6,8,0.7276510393814928
5,6,9,0.7269970002507792
5,7,3,0.7399850322913966
5,7,4,0.7399850322913966
5,7,5,0.738459655121729
5,7,6,0.7299851445392249
5,7,7,0.731468534744862
5,7,8,0.731468534744862
5,7,9,0.26660299368272283
5,8,3,0.7353126551963569
5,8,4,0.7412385536491545
5,8,5,0.6928747322408401
5,8,6,0.7397164931089325
5,8,7,0.7348067770617184
5,8,8,0.7397164931089325
5,8,9,0.7397164931089325
5,9,3,0.7463044762092497
5,9,4,0.7360810692818522
5,9,5,0.6772692716459906
5,9,6,0.7468972590985701
5,9,7,0.7463044762092497
5,9,8,0.7446595676743383
5,9,9,0.7463044762092497
6,3,3,0.7521563151210526
6,3,4,0.7537248414829198
6,3,5,0.7521563151210526
6,3,6,0.7521563151210526
6,3,7,0.7521563151210526
6,3,8,0.7537248414829198
6,3,9,0.7521563151210526
6,4,3,0.4292436861950283
6,4,4,0.684324195213796
6,4,5,0.7113481265362235
6,4,6,0.7613438186086867
6,4,7,0.7174786045676805
6,4,8,0.7105927180360454
6,4,9,0.684324195213796
6,5,3,0.7284878376119931
6,5,4,0.7048336659046233
6,5,5,0.7155129074360574
6,5,6,0.7284878376119931
6,5,7,0.7290428978295957
6,5,8,0.7284878376119931
6,5,9,0.7048336659046233
6,6,3,0.7286608972795936
6,6,4,0.5224920392003598
6,6,5,0.7276510393814928
6,6,6,0.7369689540890062
6,6,7,0.7375043270842658
6,6,8,0.7375043270842658
6,6,9,0.7276510393814928
6,7,3,0.737160752000125
6,7,4,0.7366839263746207
6,7,5,0.7035778232818758
6,7,6,0.7326114206255023
6,7,7,0.7366839263746207
6,7,8,0.7399850322913966
6,7,9,0.738459655121729
6,8,3,0.7412385536491545
6,8,4,0.7397164931089325
6,8,5,0.738585765927888
6,8,6,0.7348067770617184
6,8,7,0.7412385536491545
6,8,8,0.7412385536491545
6,8,9,0.5037486012155444
6,9,3,0.7463044762092497
6,9,4,0.7463044762092497
6,9,5,0.7463044762092497
