GSRN,mean_power,std_power,cv,zero_ratio,ramp_mean,ramp_std,mean_power_scaled,std_power_scaled,cv_scaled,ramp_mean_scaled,ramp_std_scaled
570714700000000140,123.628236007783,177.32558790539952,1.4343453698897395,0.3548128648277441,0.017103823260073172,58.651035831791184,-0.3359672417528471,-0.230373675992483,-0.06616923563603781,0.5775786477475435,-0.2505241247264165
570714700000000157,134.0461581778642,170.9979792215848,1.2756649018966264,0.2665674716721987,0.0029763049450549617,65.2574295870823,-0.2989002231197474,-0.25467495422881475,-0.10564416623968126,0.2929124558594645,-0.1811430387064659
570714700000000317,110.91974991415817,139.27379287055808,1.2556266397854607,0.13459997710884744,0.004684294871794861,45.04935890305328,-0.3811840981605205,-0.37651217866235315,-0.1106290835156387,0.3273280536585051,-0.39337045692581424
570714700000000324,103.42577040173971,135.3496908499275,1.3086650486062108,0.1532562664530159,0.0023697344322343994,45.48399727646944,-0.4078477143488451,-0.3915827526811001,-0.09743472170157065,0.28069020180563875,-0.3888058361220049
570714700000000331,102.11146091335699,134.71642024371167,1.3193075394153888,0.16790660409751632,-0.006230654761904604,44.58712780413078,-0.4125240340122278,-0.3940148381607072,-0.09478718989469163,0.10739436979469445,-0.39822485961862275
570714700000000348,102.73561004921598,135.40290733177673,1.3179744323016267,0.167677692571821,-0.014414835164835204,44.19367053958883,-0.4103033082983077,-0.39137837396604386,-0.09511882687225126,-0.05751495235784914,-0.40235699181169643
570714700000000355,122.15213105184846,148.7741331980524,1.2179413647307062,0.1135401167448781,-0.005742673992673994,47.55527837408838,-0.3412192304904065,-0.34002597586842526,-0.120004047154076,0.11722706823429399,-0.3670530104006648
570714700000000362,119.8371386059288,146.65355070374275,1.2237738017593758,0.1104498111479913,-0.005958791208791298,47.75067328665441,-0.349455985068476,-0.34817010547446875,-0.11855311214065745,0.11287235684466754,-0.36500095117762094
570714700000000379,77.86887055053221,105.21677380228994,1.3512045706892664,0.33352409293807944,-0.010682119963369952,33.935265854498375,-0.4987792904849708,-0.5073086829397148,-0.08685216731804277,0.017698386468566477,-0.5100919050256851
570714700000000966,150.48936705963143,195.4667536238064,1.2988741825617,0.20808057685704476,-0.008184523809523855,61.240502911772694,-0.24039520455099522,-0.16070225070633004,-0.0998703948662944,0.0680243651816059,-0.22332925186887054
570714700000002304,106.65602369234291,119.31096538684719,1.1186519172232445,0.18106901682499713,-0.012396978021978037,38.19365298672592,-0.39635445715632306,-0.4531797239083852,-0.14470427711685416,-0.01685560258226411,-0.4653698471418812
570714700000002311,112.24196806684216,122.76834726625167,1.09378291721632,0.1806111937736065,-0.012937614468864485,39.018597491338284,-0.3764796394304187,-0.4399015957530253,-0.15089093677239512,-0.027749300618915257,-0.45670618769979066
570714700000002786,97.14873526382053,131.19399083527858,1.3504446607462626,0.2646217237037885,-0.03323031135531131,44.13350135651133,-0.43018143643078477,-0.40754278234934255,-0.08704121006945685,-0.4366423996753187,-0.4029888953011769
570714700000003134,124.97259929037428,147.24066808596353,1.1781836092234053,0.10049215978024494,0.009157509157509245,49.1966673768098,-0.3311839905409524,-0.34591527215975554,-0.12989458163167436,0.41746227594863033,-0.3498149595353486
570714700000003165,88.49083209339591,121.69329349907628,1.375207924032599,0.21723703788485751,-0.002449633699633658,38.36673556767579,-0.4609862987538444,-0.44403035624069115,-0.08088085453162024,0.18358106042535544,-0.46355211452068823
570714700000003219,101.27131738583039,118.5638473613039,1.1707544685094917,0.08767311434130709,-0.0041895604395604455,48.88765470621942,-0.41551326884052603,-0.45604904214870984,-0.13174272852609345,0.14852194330549487,-0.35306024515919054
570714700000003226,374.2893670596315,444.6456050435008,1.1879728471491955,0.0842394414558773,0.011641483516483586,160.52561119515383,0.5558863028988773,0.796272951386759,-0.1274593134939481,0.4675137786789558,0.819374058510156
570714700000003301,108.11004921597802,133.12648190789787,1.2313978475945655,0.0957994735034909,0.0049107142857142926,44.02360708144442,-0.39118102714814273,-0.4001210207342364,-0.11665647871078773,0.3318903519258135,-0.4041430172675539
570714700000003318,130.5093853725535,150.4350262824475,1.152675923290988,0.07370951127389264,0.003640109890109901,47.42235733596429,-0.31148407826237706,-0.3336472904942925,-0.13624012714698885,0.30628797034486344,-0.3684489620077821
570714700000003431,139.57760100721072,156.24380123473958,1.1194045470567149,0.10209454046011217,-0.020879120879120947,51.09810337455981,-0.27921932216119144,-0.31133860116447387,-0.14451704543785657,-0.18776879854158077,-0.32984586604683747
570714700000003523,380.7870779443745,459.06757219051457,1.2055755007988356,0.07451070161382625,0.020066391941392026,154.12396179935251,0.5790051903800061,0.8516607374948484,-0.12308030239039078,0.6372737142066974,0.752143220650404
570714700000003530,374.5210941970928,438.82573582195664,1.1716983171875048,0.07359505551104498,-0.02126831501831496,143.33634814413125,0.5567107892006411,0.7739216543456556,-0.1315079273464894,-0.19561096947628365,0.6388504956499519
570714700000003585,30.201590362824774,44.338630255259915,1.4680892536651469,0.2265079546755179,-0.0018084935897435856,13.584521676050983,-0.668379709269167,-0.7411121273012313,-0.0577747716722094,0.19649988377985034,-0.7238176962387837
570714700000004384,130.93800640952273,165.30311451086925,1.2624532711599865,0.2622181526839876,0.00885222069597088,61.905392356850975,-0.3099590424918562,-0.27654616952810435,-0.10893082283381518,0.4113107848066148,-0.21634650856117912
570714700000004469,5.035375987180956,19.342233803349103,3.841269023920061,0.8864598832551219,-0.013859890109890109,4.814227976008261,-0.7579212245499726,-0.8371111714009896,0.5326010189061817,-0.04633293921330364,-0.8159243014703518
570714700000004476,0.049655488153828545,1.2909514559993027,25.998162620011772,0.9979397962687422,7.942873058501864e-22,0.4323764834826284,-0.7756604427568048,-0.9064373982214938,6.044570123610313,0.2329406068967359,-0.8619429958731912
570714700000004513,76.7097275952844,104.30094534013858,1.359683427510311,0.1819846629277784,0.004680975274725291,35.03913933032525,-0.5029035268556348,-0.5108259362004006,-0.08474288260996206,0.3272611645534743,-0.4984989023348984
570714700000004520,80.80596669337301,143.6105611569849,1.7772271904367003,0.46583495478997367,0.053351190476190476,48.64032244555323,-0.4883290878748436,-0.35985675351817026,0.01912945450854663,1.3079546247096099,-0.3556577562202057
570714700000004568,7.915500743962458,23.97281137294847,3.0285906284872395,0.837014993704933,-0.010599816849816856,7.755007873358424,-0.7476737264133609,-0.8193273671967903,0.33043106271356915,0.019356774969170015,-0.7850399021170161
570714700000004575,25.077983289458622,67.39573215877405,2.6874462503969943,0.7048185876158864,0.04708676739926743,22.79661027372977,-0.686609528589814,-0.6525609736696899,0.24556459602581018,1.1817279639529372,-0.6270713115857252
570714700000004605,131.14731681355158,164.23747814759213,1.2523129114496783,0.2245622067071077,0.004800022893773026,55.43114994946892,-0.30921431503857183,-0.2806387623316053,-0.11145343951703401,0.32965994625115125,-0.2843397263467261
570714700000004704,0.5903216206936018,1.8252422797417511,3.091945501838764,0.7615314181069017,0.0002472385966920405,0.8071677143502198,-0.773736749981801,-0.9043854461151483,0.3461918507965901,0.23792240683064628,-0.8580068964532134
570714700000004728,18.53895765136775,23.27484537877138,1.255455987141447,0.10758841707679982,0.0010805860805860885,7.789040926426754,-0.709875414167796,-0.8220079163065008,-0.11067153676376035,0.2547141638448594,-0.7846824831877305
570714700000004735,155.1521724848346,151.118777370638,0.9740036181923857,0.046926862767540344,-0.001031478937728921,51.52779220243238,-0.22380491977473863,-0.3310213339491265,-0.18068842588068335,0.21215654739890366,-0.32533322592384123
570714700000004742,148.70646194345886,153.9231127687429,1.0350801892339252,0.04521002632482545,-0.005527243589743551,51.24745412164423,-0.2467387897768486,-0.32025124082505924,-0.16549441092808118,0.12156794049874056,-0.32827736779886235
570714700000004759,152.35391999542176,154.09829512885923,1.0114494929535773,0.0757697150051505,-0.003636332417582336,50.88915052739477,-0.23376111597891655,-0.31957845028316406,-0.17137301783906528,0.1596693586370941,-0.3320403122152422
