GSRN,grid,grid_distance
570714700000004469,694,4390.532541731128
570714700000004469,694,4390.532541731128
570714700000004469,694,4390.532541731128
570714700000004469,694,4390.532541731128
570714700000004469,694,4390.532541731128
570714700000004469,694,4390.532541731128
570714700000004469,694,4390.532541731128
570714700000004469,694,4390.532541731128
570714700000004469,694,4390.532541731128
570714700000004469,694,4390.532541731128
570714700000004469,694,4390.532541731128
570714700000004476,694,4230.716369599834
570714700000004476,694,4230.716369599834
570714700000004476,694,4230.716369599834
570714700000004476,694,4230.716369599834
570714700000004476,694,4230.716369599834
570714700000004476,694,4230.716369599834
570714700000004476,694,4230.716369599834
570714700000004476,694,4230.716369599834
570714700000004476,694,4230.716369599834
570714700000004476,694,4230.716369599834
570714700000004476,694,4230.716369599834
570714700000004476,694,4230.716369599834
570714700000004513,694,8186.566618552615
570714700000004513,694,8186.566618552615
570714700000004513,694,8186.566618552615
570714700000004513,694,8186.566618552615
570714700000004513,694,8186.566618552615
570714700000004513,694,8186.566618552615
570714700000004513,694,8186.566618552615
570714700000004513,694,8186.566618552615
570714700000004513,694,8186.566618552615
570714700000004513,694,8186.566618552615
570714700000004513,694,8186.566618552615
570714700000004568,736,4028.1600017874166
570714700000004568,736,4028.1600017874166
570714700000004568,736,4028.1600017874166
570714700000004568,736,4028.1600017874166
570714700000004568,736,4028.1600017874166
570714700000004568,736,4028.1600017874166
570714700000004568,736,4028.1600017874166
570714700000004568,736,4028.1600017874166
570714700000004575,736,9138.85184254565
570714700000004575,736,9138.85184254565
570714700000004575,736,9138.85184254565
570714700000004575,736,9138.85184254565
570714700000004575,736,9138.85184254565
570714700000004575,736,9138.85184254565
570714700000004575,736,9138.85184254565
570714700000004575,736,9138.85184254565
570714700000004575,736,9138.85184254565
570714700000004605,694,8210.117721445898
570714700000004605,694,8210.117721445898
570714700000004605,694,8210.117721445898
570714700000004605,694,8210.117721445898
570714700000004605,694,8210.117721445898
570714700000004605,694,8210.117721445898
570714700000004605,694,8210.117721445898
570714700000004605,694,8210.117721445898
570714700000004605,694,8210.117721445898
570714700000004605,694,8210.117721445898
570714700000004605,694,8210.117721445898
570714700000004605,694,8210.117721445898
570714700000004605,694,8210.117721445898
570714700000004605,694,8210.117721445898
