GSRN,residual_mse,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,fft_0,fft_1,fft_2,fft_3,fft_4
570714700000004469,0.0040417295034135105,0.0024615384615384616,0.0005641025641025642,0.037599999999999995,0.026711111111111113,0.02871111111111111,0.03688888888888889,0.0,0.0,0.0,0.0,0.0034222222222222223,0.00580952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.016923076923076923,0.03720833333333333,0.029124999999999998,0.04404444444444444,0.050571428571428566,0.3320407814407814,0.2008956888941914,0.0363470682144976,0.1154106111395616,0.090803343730034
570714700000004476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
570714700000004513,0.025322530329248038,0.12771916083916085,0.12521244755244754,0.14972242424242424,0.15115466666666666,0.14055066666666666,0.16825733333333334,0.13779597402597402,0.1339278787878788,0.14219375,0.1534013131313131,0.11769066666666667,0.12729,0.12354121212121211,0.19110836363636363,0.20984545454545453,0.15468454545454546,0.13859738636363636,0.08660013986013985,0.08790839160839162,0.09791958041958042,0.12960806818181816,0.15874375,0.19188363636363634,0.1406516883116883,3.386008498778998,0.08638734786243472,0.1866989815720057,0.3344274286703436,0.22348425209466738
570714700000004568,0.01170735425332241,0.06418803418803419,0.0401965811965812,0.07535555555555556,0.05942962962962963,0.03102962962962963,0.025485185185185184,0.012067460317460319,0.012003703703703704,0.05113888888888889,0.04347530864197531,0.03131111111111111,0.07097222222222221,0.07503240740740742,0.07135185185185185,0.07150000000000001,0.06309722222222222,0.05896180555555555,0.058055555555555555,0.07785042735042734,0.06022649572649573,0.041281250000000005,0.08014583333333333,0.08594444444444445,0.03691666666666666,1.297017270383937,0.21314442359706698,0.14833817594899462,0.07039018349674632,0.05674067563002457
570714700000004575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
570714700000004605,0.044704422363962916,0.19046305361305363,0.20438846153846152,0.2484481818181818,0.2512110101010101,0.23838121212121213,0.28700464646464646,0.2143819264069264,0.2132781818181818,0.20397452651515152,0.18589031986531987,0.13424656565656565,0.15360010822510822,0.14499785353535352,0.2314217171717172,0.24039411764705879,0.2027539772727273,0.19614952651515152,0.13440279720279721,0.1692857808857809,0.15108473193473196,0.20046543560606062,0.24198465909090908,0.24241161616161616,0.22061049783549785,4.901230905003221,0.3687305504754107,0.20909096493842425,0.38305454946991285,0.22965681968169258
570714700000004810,0.045069787727936295,0.15935384615384615,0.12316923076923077,0.21024,0.21882666666666667,0.21912,0.2537066666666667,0.18577142857142856,0.17474666666666666,0.21145,0.20048888888888888,0.14922666666666667,0.17657142857142857,0.19223333333333334,0.24138666666666667,0.2673647058823529,0.2003,0.17522500000000002,0.12092307692307691,0.15270769230769232,0.1474769230769231,0.143275,0.197,0.22205333333333332,0.18439999999999998,4.5270172211448685,0.22606075217166358,0.1967282610574262,0.38971109071231375,0.2148950722830253
570714700000004964,0.006517403773241286,0.02834965034965035,0.030692307692307692,0.042139393939393935,0.04478181818181818,0.04396969696969697,0.05842424242424242,0.04153896103896104,0.03469090909090909,0.03773863636363636,0.04581313131313131,0.03398787878787879,0.04012987012987013,0.04687878787878788,0.0739939393939394,0.06316577540106952,0.05280681818181818,0.05274431818181818,0.029363636363636366,0.02832167832167832,0.02437062937062937,0.04143181818181818,0.037761363636363635,0.057587878787878785,0.03883116883116883,1.0295143088121028,0.06882681655531427,0.08334610586325121,0.1245282611736407,0.05751206061399041
570714700000005060,0.008338415109803278,0.06836410256410257,0.06096923076923077,0.09739111111111112,0.08997333333333332,0.08930222222222221,0.10751111111111111,0.07616190476190476,0.07040444444444445,0.0894375,0.09107037037037037,0.05640888888888888,0.05982857142857143,0.06692777777777778,0.0972311111111111,0.10082745098039216,0.07689166666666666,0.079025,0.05391794871794872,0.06184615384615385,0.05304102564102564,0.061033333333333335,0.079925,0.07663555555555555,0.06747142857142857,1.8315962432066843,0.11074080993065093,0.10229865236050383,0.10574862632941101,0.11006455582817738
570714700000005213,0.031405951084203736,0.16256410256410256,0.17053846153846156,0.2210111111111111,0.21235555555555555,0.18885555555555555,0.20394444444444443,0.15039285714285713,0.1439777777777778,0.17784375,0.17365740740740743,0.14402222222222222,0.17833333333333332,0.18041666666666667,0.23671111111111112,0.22234313725490196,0.166,0.16501041666666666,0.11474358974358975,0.13306410256410256,0.12143589743589743,0.15780208333333334,0.206625,0.2233777777777778,0.1696547619047619,4.224681123111638,0.12877351344289478,0.3008019157924699,0.27380786991743367,0.21970683003982838
570714700000106682,0.03641485793429266,0.16317299145299144,0.16431282051282053,0.24288992592592593,0.2315437037037037,0.22406696296296294,0.26793992592592597,0.1923361111111111,0.1977208888888889,0.19396583333333334,0.19029864197530866,0.14652970370370372,0.1769370634920635,0.19766722222222222,0.24663585185185183,0.25245235294117646,0.19213055555555555,0.18919458333333333,0.15113008547008547,0.17217273504273503,0.16475529914529916,0.1624409722222222,0.21291368055555554,0.23776962962962964,0.20194579365079363,4.7729233346091995,0.16328408475584125,0.2181824470093829,0.3428777755325325,0.1428323078544287
570714700000106699,0.028413087448818198,0.14286675213675212,0.13352444444444445,0.2200162962962963,0.19182911111111112,0.1842480740740741,0.22101244444444443,0.15097309523809524,0.1575497037037037,0.16670243055555556,0.16731469135802468,0.13599755555555554,0.17571261904761903,0.18643500000000002,0.20189822222222223,0.2426795424836601,0.17244083333333335,0.16269625000000001,0.10392213675213674,0.11770102564102565,0.11024076923076923,0.11409958333333334,0.15667833333333334,0.20278918518518518,0.1629011904761905,3.982229289956866,0.23094554904103717,0.31817818624534183,0.2860153973242825,0.17153521228106886
570714700000106958,0.027874443974153073,0.07462188034188035,0.047449230769230764,0.13484325925925927,0.12515111111111113,0.13737096296296297,0.19229274074074074,0.130388253968254,0.12753096296296296,0.15466333333333335,0.15843506172839505,0.10855614814814814,0.11707396825396825,0.10458222222222223,0.14513155555555554,0.1695602614379085,0.08788722222222223,0.08339916666666666,0.020593846153846154,0.07737470085470086,0.056454017094017095,0.09409472222222222,0.12041472222222221,0.14154814814814815,0.09142825396825396,2.7008457523482328,0.4081594033142246,0.04054388741580499,0.34202769188661303,0.2203633456608015
570715000000107078,0.027985241605948976,0.16323674208144795,0.1752310407239819,0.18443678431372548,0.16682188235294115,0.17979992156862742,0.23590203921568625,0.2114626050420168,0.2047861176470588,0.21818213235294118,0.2050197385620915,0.13640039215686273,0.14426957983193275,0.15950774509803922,0.2211878431372549,0.2365473356401384,0.16907470588235293,0.18988492647058824,0.12947085972850678,0.13373348416289593,0.14805764705882352,0.17056176470588236,0.1923066911764706,0.2033441568627451,0.17979210084033612,4.359018236613348,0.19564939308015575,0.039868802580014594,0.36357107992537036,0.17425071683729274
571313174116253585,0.04054691702989555,0.20664832579185521,0.20513628959276017,0.2546915294117647,0.2299552156862745,0.23323788235294118,0.278429568627451,0.20645142857142856,0.20903058823529413,0.2322179411764706,0.2119156862745098,0.15329168627450981,0.17721697478991597,0.17575558823529414,0.23916109803921567,0.2553355017301038,0.15973860294117648,0.1696108088235294,0.12193447963800906,0.18966705882352944,0.1686691402714932,0.22002080882352942,0.2343216911764706,0.23889301960784312,0.21269638655462184,4.984027301449991,0.33430789871191985,0.0715650846858573,0.3070356504270062,0.2157914465877134
