Cluster,GSRN
0,[570715000000128905]
1,[570714700000004476]
2,[570715000000091681]
3,"[570714700000004520, 570714700000004575]"
4,"[570714700000000355, 570714700000000362, 570714700000004513, 570714700000004605, 570714700000004735, 570714700000004742, 570714700000004759, 570714700000005213, 570714700000009655, 570714700000010897, 570714700000011832, 570714700000012396, 570714700000014284, 570714700000014291, 570714700000014307, 570714700000014314, 570714700000014321, 570714700000106682, 570714700000106699]"
5,"[570714700000003585, 570714700000004704, 570714700000004728, 570714700000004810, 570714700000004940, 570714700000004964, 570714700000004995, 570714700000005039, 570714700000005053, 570714700000005060, 570714700000005091, 570714700000005503, 570714700000010750, 570714700000010767, 570714700000106958]"
6,"[570714700000000379, 570714700000009648, 570714700000009662, 570714700000009938, 570714700000009945, 570714700000014338]"
7,"[570714700000004469, 570714700000004568]"
8,"[570714700000011825, 570715000000107078, 571313174116253585]"
