Cluster,Count,mean_power_scaled_mean,std_power_scaled_mean,cv_scaled_mean,zero_ratio_mean,ramp_mean_scaled_mean,ramp_std_scaled_mean,mean_power_scaled_std,std_power_scaled_std,cv_scaled_std,zero_ratio_std,ramp_mean_scaled_std,ramp_std_scaled_std
0,51,2.3383,2.3408,-0.1774,0.0672,-1.1569,2.3493,0.9186,0.8308,0.0209,0.0207,1.9099,0.8828
1,2,-0.7299,-0.8549,13.2276,0.9987,0.2984,-0.7925,0.0,0.0018,6.5609,0.0011,0.0,0.0083
2,4,1.7114,1.8085,-0.1317,0.1102,4.7725,1.6934,1.502,1.0891,0.081,0.0611,1.2589,0.9328
3,251,-0.3049,-0.2922,-0.083,0.1465,0.0177,-0.3018,0.0971,0.1045,0.0484,0.082,0.3357,0.0973
4,76,-0.6317,-0.7048,0.0607,0.3157,0.2485,-0.6684,0.0736,0.1091,0.1783,0.1942,0.1157,0.0919
5,6,0.5266,0.8178,-0.0903,0.09,0.7233,0.7399,0.061,0.1199,0.0168,0.0183,0.5113,0.144
6,10,-0.3271,-0.2911,-0.0114,0.2397,1.1653,-0.2892,0.1615,0.1489,0.1734,0.2085,0.3848,0.1384
