Cluster,Count,mean_power_scaled_mean,std_power_scaled_mean,cv_scaled_mean,zero_ratio_mean,ramp_mean_scaled_mean,ramp_std_scaled_mean,mean_power_scaled_std,std_power_scaled_std,cv_scaled_std,zero_ratio_std,ramp_mean_scaled_std,ramp_std_scaled_std
0,2,-0.7757,-0.9051,9.3432,0.9987,0.2329,-0.856,0.0,0.0018,4.665,0.0011,0.0,0.0085
1,29,2.1545,2.1329,-0.181,0.0699,-1.1817,2.1372,0.9598,0.8792,0.013,0.0225,1.8051,0.9089
2,3,1.0346,1.271,-0.1343,0.133,3.9492,1.2464,0.6542,0.5339,0.0473,0.0498,1.2317,0.4925
3,2,-0.185,-0.0515,-0.0885,0.2577,-1.1753,-0.0064,0.1283,0.2094,0.0091,0.067,0.1443,0.3406
4,6,0.5352,0.7771,-0.1263,0.09,0.5775,0.7055,0.0637,0.1205,0.012,0.0183,0.4147,0.1467
5,126,-0.356,-0.3503,-0.1089,0.1737,0.0964,-0.3563,0.0941,0.0956,0.0392,0.0903,0.2209,0.0935
6,29,-0.7082,-0.7916,0.0514,0.4035,0.1785,-0.7602,0.0527,0.085,0.1556,0.2156,0.1093,0.0691
7,3,-0.4917,-0.4425,0.0436,0.4251,1.1719,-0.4292,0.1932,0.1833,0.1909,0.3022,0.1412,0.1732
